"layer","id","total_time","sub_sec_cnt","sub_acc_cnt","dep","MERGE"
"543",1,633,3643,10,0,1949,10
"544",1,633,2604,10,0,1567,11
"545",1,633,3433,10,0,2054,11
"546",1,633,2827,10,0,1392,15
"547",1,633,3031,10,0,1420,11
"548",1,633,3758,10,0,2165,10
"549",1,633,3215,10,0,1562,10
"550",1,633,3381,10,0,1811,10
"551",1,633,3393,10,0,1954,10
"552",1,633,2488,10,0,1259,10
"553",1,633,2585,10,0,1215,10
"554",1,633,3210,10,0,1940,10
"555",1,633,4196,10,0,3121,10
"556",1,633,4330,10,0,3084,10
"557",1,633,3629,10,0,2215,11
"558",1,633,4096,10,0,1967,10
"559",1,633,3028,10,0,1579,11
"560",1,633,3207,10,0,1620,10
"561",1,633,3631,10,0,1940,10
"562",1,633,3180,10,0,2135,10
"563",1,633,3846,10,0,2060,10
"564",1,633,3146,10,0,1882,10
"565",1,633,4172,10,0,2150,10
"566",1,633,3484,10,0,2089,10
"567",1,633,3424,10,0,2014,10
"568",1,633,3924,10,0,2125,10
"569",1,633,2873,10,0,1621,10
"570",1,633,3210,10,0,2016,11
"571",1,633,3468,10,0,1956,10
"572",1,633,2692,10,0,1686,11
"573",1,633,2920,10,0,1583,9
"574",1,633,6836,10,0,5425,11
"575",1,633,1833,10,0,226,12
"576",1,633,5209,10,0,3638,10
"577",1,633,3230,10,0,2193,10
"578",1,633,2396,10,0,1297,10
"579",1,633,2711,10,0,1696,12
"580",1,633,3137,10,0,1949,12
"581",1,633,3339,10,0,1968,11
"582",1,633,3476,10,0,2026,12
"583",1,633,4214,10,0,2571,11
"584",1,633,3359,10,0,1843,11
"585",1,633,3375,10,0,1815,10
"586",1,633,3622,10,0,1890,10
"587",1,633,3641,10,0,2149,10
"588",1,633,2304,10,0,1291,9
"589",1,633,3269,10,0,2233,10
"590",1,633,3515,10,0,1997,9
"591",1,633,3780,10,0,2105,11
"592",1,633,3280,10,0,1884,12
"593",1,633,1956,10,0,784,11
"594",1,633,1781,10,0,777,11
"595",1,633,2683,10,0,1568,10
"596",1,633,2910,10,0,1668,11
"597",1,633,3256,10,0,2015,11
"598",1,633,3285,10,0,1790,11
"599",1,633,3787,10,0,1867,10
"600",1,633,3783,10,0,1839,11
"601",1,633,2874,10,0,1494,10
"602",1,633,3334,10,0,1836,11
"603",1,633,4242,10,0,3034,11
"604",1,633,4998,10,0,3404,10
"605",1,633,4158,10,0,3075,10
"606",1,633,4024,10,0,2993,11
"607",1,633,4141,10,0,2793,14
"608",1,633,4523,10,0,3109,10
"609",1,633,5254,10,0,3563,10
"610",1,633,5572,10,0,3208,12
"611",1,633,5046,10,0,1704,10
"612",1,633,5123,10,0,2768,10
"613",1,633,5894,10,0,2354,9
"614",1,633,2983,10,0,1973,10
"615",1,633,6124,10,0,2364,10
"616",1,633,4262,10,0,2867,10
"617",1,633,4831,10,0,2917,9
"618",1,633,3133,10,0,1003,10
"619",1,633,3487,10,0,1571,10
"620",1,633,4092,10,0,2914,10
"621",1,633,3893,10,0,2731,11
"622",1,633,4942,10,0,3390,11
"623",1,633,2696,10,0,1693,10
"624",1,633,2798,10,0,1681,12
"625",1,633,2492,10,0,782,11
"626",1,633,3193,10,0,1687,11
"627",1,633,3452,10,0,1681,10
"628",1,633,5851,10,0,4054,11
"629",1,633,5079,10,0,3241,10
"630",1,633,4787,10,0,2962,9
"631",1,633,8393,10,0,2836,12
"632",1,633,6475,10,0,3342,11
"633",1,633,3116,10,0,1601,11
"634",1,633,3900,10,0,2846,10
"635",1,633,3079,10,0,2037,10
"636",1,633,3585,10,0,1983,10
"637",1,633,2816,10,0,1719,11
"638",1,633,3394,10,0,2323,11
"639",1,633,3363,10,0,2257,10
"640",1,633,3299,10,0,2016,10
